,topic,tweet,tweets_cleaned
212,soda,"#UnDiaComoHoy hace 32 años, se publicó #CancionAnimal, el quinto álbum de Soda Stereo 🎸🔥

Se le considera el mejor disco de la banda en toda su carrera, el cual posee un sonido rockero, más duro y sanguíneo que sus anteriores 📀

¿Canción favorita de este disco? 👇🏼 t.co/NOlb5sgYwI",undiacomohoy hace años se publicó cancionanimal el quinto álbum de soda stereo se le considera el mejor disco de la banda en toda su carrera el cual posee un sonido rockero más duro sanguíneo que sus anteriores canción favorita de este disco tconolbsgywi
220,soda,@Nar_soda_fall Kon it dara dé 😂,narsodafall kon dara dé 
221,soda,I know food prices have risen everywhere but I’ve got to draw a line when a long time cheesesteak shop begins charging 2 bucks for a refill on a fountain soda. Cmon.. we’re talking syrup and carbonated water. Do better Chubbys.,know food price risen everywhere got draw line long time cheesesteak shop begin charging buck refill fountain soda cmon talking syrup carbonated water better chubbys
231,soda,"@DaveMacLachlan1 Scotch and Soda, The Kingston Trio.",davemaclachlan scotch soda kingston trio
234,soda,@Pizzaplexguards What are you Ahing about ? Did you not ge the right soda ?,pizzaplexguards ahing ge right soda 
238,soda,@lsymichael @Gh0ster 我都是soda stream自己做,lsymichael ghster 我都是soda stream自己做
239,soda,Somos CÓMPLICES los.... Como la canción de Soda Stereo t.co/Ptg7HTQDuQ,somos cómplices los como la canción de soda stereo tcoptghtqduq
245,soda,@guhlo TTB approved. Not saying it couldn’t be better outlined but they gave the ok. Also is that their image? With a Vodka soda can right behind it? t.co/1QiPgCWSHr,guhlo ttb approved saying better outlined gave ok also image vodka soda right behind tcoqipgcwshr
246,soda,"Blood orange (Italian soda) in a #TWD themed glass is the right way to finish watching #TalesOfTWD eps. 

2 down. 2 to go. t.co/fo2pT8kuzI",blood orange italian soda twd themed glass right way finish watching talesoftwd eps go tcofoptkuzi
252,soda,"Ahora sonando De Música Ligera por Soda Stereo 
 en Radio UNO Digital t.co/nwESNcga0v - Donde la cultura del rock se siente t.co/yj6CRw6lRO",ahora sonando de música ligera por soda stereo en radio uno digital tconwesncgav donde la cultura del rock se siente tcoyjcrwlro
253,soda,@evthebeloved actually i hate soda,evthebeloved actually hate soda
254,soda,"@NathanpmYoung i would just stick to soda, booze, &amp; chips",nathanpmyoung would stick soda booze amp chip
259,soda,"@Tilberian **Smash cut to the SkyDome grounds crew, scrubbing second base with baking soda and vinegar, after the game**",tilberian smash cut skydome ground crew scrubbing second base baking soda vinegar game
260,soda,"@Vivirvivir4 Apa! Tuve que buscarlo 
Poco decorosa de risa fuerte 
Te gusta la soda y eructar pero no lo haces 
A veces te arrepentis de no tener un auto mas grande para cargar mas bolsas de súper",vivirvivir apa tuve que buscarlo poco decorosa de risa fuerte te gusta la soda eructar pero lo haces veces te arrepentis de tener un auto ma grande para cargar ma bolsas de súper
265,soda,@li__soda Ai mdssss mto mto obrigada 😭💛💛💛💛💛💛😳,lisoda ai md mto mto obrigada 
269,soda,"@SAWohlfeil Too funny. Were you guys at your table for hours, just drinking coffee or soda and ordering no food because you didn’t have enough money?",sawohlfeil funny guy table hour drinking coffee soda ordering food enough money
272,soda,"@CindyRi24097949 @CityCynthia @ChristyCeeCK Exactly! Even Kraft Dinner has gone up. Cripes, I remember when it was 5/$1 or 25¢ box. Even soda pop went up $1.27 case at Walmart in the past week! @fordnation wouldn't be able to handle it.",cindyri citycynthia christyceeck exactly even kraft dinner gone cripes remember box even soda pop went case walmart past week fordnation wouldnt able handle
275,soda,"@SteveStuffie @ScrappyDaDog14 hiya Scrappy pal
can I get you a soda? something to drink to have with your pizza?
#FurryTails Pizza Club",stevestuffie scrappydadog hiya scrappy pal get soda something drink pizza furrytails pizza club
278,soda,Ayran limon tuz soda nın bazen Dünya nın en iyi içeceği olduğunu düşünüyorum,ayran limon tuz soda nın bazen dünya nın en iyi içeceği olduğunu düşünüyorum
279,soda,"Pengen duren dan soda. Of course minumnya ga barengan 😂. 
Pasti dimarahin bebeb 🙅‍♂️",pengen duren dan soda course minumnya ga barengan pasti dimarahin bebeb 
293,soda,"#DailyKakojoRanking #カコジョ
#faceapp #SODA #自撮り

おはちひ♪

お久しぶりです。

いつも投げっぱなしですみません。

今日も元気にいきまっしょい
(*≧∀≦*)ノ☀️ t.co/tzexcv9Gse",dailykakojoranking カコジョ faceapp soda 自撮り おはちひ お久しぶりです いつも投げっぱなしですみません 今日も元気にいきまっしょい ノ tcotzexcvgse
311,soda,"“No hay nada mejor que casa...”

'Té Para Tres'

GUSTAVO CERATI - SODA STEREO #Cerati #FraseQRP #GustavoCerati #CeratiEterno t.co/JXo2EL0IvD", hay nada mejor que casa té para tres gustavo cerati soda stereo cerati fraseqrp gustavocerati ceratieterno tcojxoelivd
314,soda,"@MateoNoMayo I used to work over Mike Tyson.

Dude knocks me out left and right now. Don’t get me started on Soda Popinski.",mateonomayo used work mike tyson dude knock left right get started soda popinski
315,soda,@Riddle1fangirl I like coke a lot one of my favorite soda’s,riddlefangirl like coke lot one favorite soda
316,soda,"@slav_metalurges I have frozen cubes of watermelon in place of ice in a G&amp;T… maybe try that? 
Or try with a light tonic (thinking Fever Tree light blue or 50/50 tonic/soda)?
Also watermelon likes mint, cucumber, black pepper so could some or all?",slavmetalurges frozen cube watermelon place ice gampt maybe try try light tonic thinking fever tree light blue tonicsoda also watermelon like mint cucumber black pepper could
319,soda,My mom really just ran off with my soda…..😭😭like really stole it,mom really ran soda like really stole
321,soda,"Si la fuente de soda Acuarela hubiese tenido un logo de fospuca en la entrada y estuviese ubicada en Las Mercedes, el alcalde de Baruta (Darwin González) no hubiese cerrado el local.",si la fuente de soda acuarela hubiese tenido un logo de fospuca en la entrada estuviese ubicada en la mercedes el alcalde de baruta darwin gonzález hubiese cerrado el local
326,soda,I will grab by flask of (water) and defend @UKFootball against all of its haters. Where’s my bottle of (soda) ?,grab flask water defend ukfootball hater bottle soda 
330,soda,They’re making soda bottles too sexy these days. Too many curves.,making soda bottle sexy day many curve
331,soda,So 2oz of gin and .5oz of simple syrup and topped with club soda. A beautiful colour but it didn’t blow my knickers out of the water. Perhaps more needs to be more with actual watermelon purée added? I may still be in the middle of the thought process. @FionaMattatall t.co/JLeA2S71om,oz gin oz simple syrup topped club soda beautiful colour blow knickers water perhaps need actual watermelon purée added may still middle thought process fionamattatall tcojleasom
340,soda,"@KellyRippin Can we, just for a second, talk about how delicious A&amp;W Root Beer Zero Sugar is? Only thing that could replace it is if Barqs's finally makes a Zero Sugar Red Cream Soda.",kellyrippin second talk delicious aampw root beer zero sugar thing could replace barqss finally make zero sugar red cream soda
342,soda,"@trpg_soda アララ！！でもまあこっちも全く通らないってほどじゃないので…多分大丈夫かな…？
精神分析はありがたいなあ！こっちもしっかり推奨積んどきますよ〜👍👍👍
お！やった〜牡蠣定食作ってもらうか…🦪😋",trpgsoda アララ でもまあこっちも全く通らないってほどじゃないので 多分大丈夫かな 精神分析はありがたいなあ こっちもしっかり推奨積んどきますよ お やった 牡蠣定食作ってもらうか 
344,soda,Yoga pants can make Soda Bread look good,yoga pant make soda bread look good
369,soda,"@anth_alvarado Said a bunch already, but club soda + lime with a splash of bitters (there’s some alcohol in most bitters but it’s just a few drops of bitters so it’s a minuscule amount)",anthalvarado said bunch already club soda lime splash bitter alcohol bitter drop bitter minuscule amount
