,topic,tweet,tweet_stemmed
174,soda,Next was a soda tier list I'm sorry I don't drink a lot of soda t.co/1pJDTFX2q2,"['next', 'soda', 'tier', 'list', 'im', 'sorri', 'dont', 'drink', 'lot', 'soda', 'tcopjdtfxq']"
177,soda,@iwannago_higher Baking soda?,"['iwannagohigh', 'bake', 'soda']"
181,soda,"Few sips left in a 2-liter soda bottle in the 'fridge. Drink it from the bottle, pour it in a glass, or go on about soda being unhealthy?","['sip', 'left', 'liter', 'soda', 'bottl', 'fridg', 'drink', 'bottl', 'pour', 'glass', 'go', 'soda', 'unhealthi']"
182,soda,Day 396 of getting @MrBeast to get some soda off of me.,"['day', 'get', 'mrbeast', 'get', 'soda']"
191,soda,@Riedal64 I prefer the soda squirt 😈🔥,"['riedal', 'prefer', 'soda', 'squirt', '']"
194,soda,@ttxyn1 @PatrzInaczej Mielim syfon na naboje 😍 Ale oranżada z sodą i kwasem też chodziła 😝,"['ttxyn', 'patrzinaczej', 'mielim', 'syfon', 'na', 'naboj', 'ale', 'oranżada', 'z', 'sodą', 'kwasem', 'też', 'chodziła', '']"
198,soda,"Question, how many of you know the Soda squirt 😈🔥","['question', 'mani', 'know', 'soda', 'squirt', '']"
202,soda,@Riedal64 I probably should clarify this but it’s a grapefruit soda sold around New Jersey that taste similar to Sprite 😈🔥,"['riedal', 'probabl', 'clarifi', 'grapefruit', 'soda', 'sold', 'around', 'new', 'jersey', 'tast', 'similar', 'sprite', '']"
206,soda,@____Gil this looks like before getting on a cruise ship. lol which In that case you can bring soda 😂,"['gil', 'look', 'like', 'get', 'cruis', 'ship', 'lol', 'case', 'bring', 'soda', '']"
207,soda,@Riedal64 The grapefruit soda baka 😈🔥😳,"['riedal', 'grapefruit', 'soda', 'baka', '']"
208,soda,"#WhatTheFanta gotta be Cream Soda, yeah? #MysteryFlavor #Fanta t.co/ztt0gnIhCa","['whatthefanta', 'gotta', 'cream', 'soda', 'yeah', 'mysteryflavor', 'fanta', 'tcozttgnihca']"
209,soda,"Also, to add to this, there should be much better options for non drinkers that’s not just soft drinks or a lime and soda, orange juice","['also', 'add', 'much', 'better', 'option', 'non', 'drinker', 'soft', 'drink', 'lime', 'soda', 'orang', 'juic']"
212,soda,"#UnDiaComoHoy hace 32 años, se publicó #CancionAnimal, el quinto álbum de Soda Stereo 🎸🔥

Se le considera el mejor disco de la banda en toda su carrera, el cual posee un sonido rockero, más duro y sanguíneo que sus anteriores 📀

¿Canción favorita de este disco? 👇🏼 t.co/NOlb5sgYwI","['undiacomohoy', 'hace', 'año', 'se', 'publicó', 'cancionanim', 'el', 'quinto', 'álbum', 'de', 'soda', 'stereo', 'se', 'le', 'considera', 'el', 'mejor', 'disco', 'de', 'la', 'banda', 'en', 'toda', 'su', 'carrera', 'el', 'cual', 'pose', 'un', 'sonido', 'rockero', 'má', 'duro', 'sanguíneo', 'que', 'su', 'anterior', 'canción', 'favorita', 'de', 'est', 'disco', 'tconolbsgywi']"
220,soda,@Nar_soda_fall Kon it dara dé 😂,"['narsodafal', 'kon', 'dara', 'dé', '']"
221,soda,I know food prices have risen everywhere but I’ve got to draw a line when a long time cheesesteak shop begins charging 2 bucks for a refill on a fountain soda. Cmon.. we’re talking syrup and carbonated water. Do better Chubbys.,"['know', 'food', 'price', 'risen', 'everywher', 'got', 'draw', 'line', 'long', 'time', 'cheesesteak', 'shop', 'begin', 'charg', 'buck', 'refil', 'fountain', 'soda', 'cmon', 'talk', 'syrup', 'carbon', 'water', 'better', 'chubbi']"
231,soda,"@DaveMacLachlan1 Scotch and Soda, The Kingston Trio.","['davemaclachlan', 'scotch', 'soda', 'kingston', 'trio']"
234,soda,@Pizzaplexguards What are you Ahing about ? Did you not ge the right soda ?,"['pizzaplexguard', 'ahe', 'ge', 'right', 'soda', '']"
238,soda,@lsymichael @Gh0ster 我都是soda stream自己做,"['lsymichael', 'ghster', '我都是soda', 'stream自己做']"
239,soda,Somos CÓMPLICES los.... Como la canción de Soda Stereo t.co/Ptg7HTQDuQ,"['somo', 'cómplice', 'lo', 'como', 'la', 'canción', 'de', 'soda', 'stereo', 'tcoptghtqduq']"
245,soda,@guhlo TTB approved. Not saying it couldn’t be better outlined but they gave the ok. Also is that their image? With a Vodka soda can right behind it? t.co/1QiPgCWSHr,"['guhlo', 'ttb', 'approv', 'say', 'better', 'outlin', 'gave', 'ok', 'also', 'imag', 'vodka', 'soda', 'right', 'behind', 'tcoqipgcwshr']"
