,topic,tweet,tweet_tokenized
170,soda,"Soda. Though usually if I'm getting a soda I want a Coke Zero, so I ask for a Coke Zero.

Even when I was living in the south I heard most people saying ""soda"" so I feel like the regional differences might be homogenizing a bit. t.co/CmUkCCSOcr","['soda', 'though', 'usually', 'if', 'im', 'getting', 'a', 'soda', 'i', 'want', 'a', 'coke', 'zero', 'so', 'i', 'ask', 'for', 'a', 'coke', 'zero', 'even', 'when', 'i', 'was', 'living', 'in', 'the', 'south', 'i', 'heard', 'most', 'people', 'saying', 'soda', 'so', 'i', 'feel', 'like', 'the', 'regional', 'differences', 'might', 'be', 'homogenizing', 'a', 'bit', 'tcocmukccsocr']"
172,soda,@DonLew87 Soda in 2022? Only unhealthy drinks we doing is alcohol at least there is a buzz there I personally stopped soda at the beginning of the pandemic,"['donlew', 'soda', 'in', 'only', 'unhealthy', 'drinks', 'we', 'doing', 'is', 'alcohol', 'at', 'least', 'there', 'is', 'a', 'buzz', 'there', 'i', 'personally', 'stopped', 'soda', 'at', 'the', 'beginning', 'of', 'the', 'pandemic']"
174,soda,Next was a soda tier list I'm sorry I don't drink a lot of soda t.co/1pJDTFX2q2,"['next', 'was', 'a', 'soda', 'tier', 'list', 'im', 'sorry', 'i', 'dont', 'drink', 'a', 'lot', 'of', 'soda', 'tcopjdtfxq']"
177,soda,@iwannago_higher Baking soda?,"['iwannagohigher', 'baking', 'soda']"
181,soda,"Few sips left in a 2-liter soda bottle in the 'fridge. Drink it from the bottle, pour it in a glass, or go on about soda being unhealthy?","['few', 'sips', 'left', 'in', 'a', 'liter', 'soda', 'bottle', 'in', 'the', 'fridge', 'drink', 'it', 'from', 'the', 'bottle', 'pour', 'it', 'in', 'a', 'glass', 'or', 'go', 'on', 'about', 'soda', 'being', 'unhealthy']"
182,soda,Day 396 of getting @MrBeast to get some soda off of me.,"['day', 'of', 'getting', 'mrbeast', 'to', 'get', 'some', 'soda', 'off', 'of', 'me']"
191,soda,@Riedal64 I prefer the soda squirt 😈🔥,"['riedal', 'i', 'prefer', 'the', 'soda', 'squirt', '']"
194,soda,@ttxyn1 @PatrzInaczej Mielim syfon na naboje 😍 Ale oranżada z sodą i kwasem też chodziła 😝,"['ttxyn', 'patrzinaczej', 'mielim', 'syfon', 'na', 'naboje', 'ale', 'oranżada', 'z', 'sodą', 'i', 'kwasem', 'też', 'chodziła', '']"
198,soda,"Question, how many of you know the Soda squirt 😈🔥","['question', 'how', 'many', 'of', 'you', 'know', 'the', 'soda', 'squirt', '']"
202,soda,@Riedal64 I probably should clarify this but it’s a grapefruit soda sold around New Jersey that taste similar to Sprite 😈🔥,"['riedal', 'i', 'probably', 'should', 'clarify', 'this', 'but', 'it', 's', 'a', 'grapefruit', 'soda', 'sold', 'around', 'new', 'jersey', 'that', 'taste', 'similar', 'to', 'sprite', '']"
206,soda,@____Gil this looks like before getting on a cruise ship. lol which In that case you can bring soda 😂,"['gil', 'this', 'looks', 'like', 'before', 'getting', 'on', 'a', 'cruise', 'ship', 'lol', 'which', 'in', 'that', 'case', 'you', 'can', 'bring', 'soda', '']"
207,soda,@Riedal64 The grapefruit soda baka 😈🔥😳,"['riedal', 'the', 'grapefruit', 'soda', 'baka', '']"
208,soda,"#WhatTheFanta gotta be Cream Soda, yeah? #MysteryFlavor #Fanta t.co/ztt0gnIhCa","['whatthefanta', 'gotta', 'be', 'cream', 'soda', 'yeah', 'mysteryflavor', 'fanta', 'tcozttgnihca']"
209,soda,"Also, to add to this, there should be much better options for non drinkers that’s not just soft drinks or a lime and soda, orange juice","['also', 'to', 'add', 'to', 'this', 'there', 'should', 'be', 'much', 'better', 'options', 'for', 'non', 'drinkers', 'that', 's', 'not', 'just', 'soft', 'drinks', 'or', 'a', 'lime', 'and', 'soda', 'orange', 'juice']"
212,soda,"#UnDiaComoHoy hace 32 años, se publicó #CancionAnimal, el quinto álbum de Soda Stereo 🎸🔥

Se le considera el mejor disco de la banda en toda su carrera, el cual posee un sonido rockero, más duro y sanguíneo que sus anteriores 📀

¿Canción favorita de este disco? 👇🏼 t.co/NOlb5sgYwI","['undiacomohoy', 'hace', 'años', 'se', 'publicó', 'cancionanimal', 'el', 'quinto', 'álbum', 'de', 'soda', 'stereo', 'se', 'le', 'considera', 'el', 'mejor', 'disco', 'de', 'la', 'banda', 'en', 'toda', 'su', 'carrera', 'el', 'cual', 'posee', 'un', 'sonido', 'rockero', 'más', 'duro', 'y', 'sanguíneo', 'que', 'sus', 'anteriores', 'canción', 'favorita', 'de', 'este', 'disco', 'tconolbsgywi']"
220,soda,@Nar_soda_fall Kon it dara dé 😂,"['narsodafall', 'kon', 'it', 'dara', 'dé', '']"
221,soda,I know food prices have risen everywhere but I’ve got to draw a line when a long time cheesesteak shop begins charging 2 bucks for a refill on a fountain soda. Cmon.. we’re talking syrup and carbonated water. Do better Chubbys.,"['i', 'know', 'food', 'prices', 'have', 'risen', 'everywhere', 'but', 'i', 've', 'got', 'to', 'draw', 'a', 'line', 'when', 'a', 'long', 'time', 'cheesesteak', 'shop', 'begins', 'charging', 'bucks', 'for', 'a', 'refill', 'on', 'a', 'fountain', 'soda', 'cmon', 'we', 're', 'talking', 'syrup', 'and', 'carbonated', 'water', 'do', 'better', 'chubbys']"
231,soda,"@DaveMacLachlan1 Scotch and Soda, The Kingston Trio.","['davemaclachlan', 'scotch', 'and', 'soda', 'the', 'kingston', 'trio']"
234,soda,@Pizzaplexguards What are you Ahing about ? Did you not ge the right soda ?,"['pizzaplexguards', 'what', 'are', 'you', 'ahing', 'about', 'did', 'you', 'not', 'ge', 'the', 'right', 'soda', '']"
238,soda,@lsymichael @Gh0ster 我都是soda stream自己做,"['lsymichael', 'ghster', '我都是soda', 'stream自己做']"
239,soda,Somos CÓMPLICES los.... Como la canción de Soda Stereo t.co/Ptg7HTQDuQ,"['somos', 'cómplices', 'los', 'como', 'la', 'canción', 'de', 'soda', 'stereo', 'tcoptghtqduq']"
245,soda,@guhlo TTB approved. Not saying it couldn’t be better outlined but they gave the ok. Also is that their image? With a Vodka soda can right behind it? t.co/1QiPgCWSHr,"['guhlo', 'ttb', 'approved', 'not', 'saying', 'it', 'couldn', 't', 'be', 'better', 'outlined', 'but', 'they', 'gave', 'the', 'ok', 'also', 'is', 'that', 'their', 'image', 'with', 'a', 'vodka', 'soda', 'can', 'right', 'behind', 'it', 'tcoqipgcwshr']"
246,soda,"Blood orange (Italian soda) in a #TWD themed glass is the right way to finish watching #TalesOfTWD eps. 

2 down. 2 to go. t.co/fo2pT8kuzI","['blood', 'orange', 'italian', 'soda', 'in', 'a', 'twd', 'themed', 'glass', 'is', 'the', 'right', 'way', 'to', 'finish', 'watching', 'talesoftwd', 'eps', 'down', 'to', 'go', 'tcofoptkuzi']"
252,soda,"Ahora sonando De Música Ligera por Soda Stereo 
 en Radio UNO Digital t.co/nwESNcga0v - Donde la cultura del rock se siente t.co/yj6CRw6lRO","['ahora', 'sonando', 'de', 'música', 'ligera', 'por', 'soda', 'stereo', 'en', 'radio', 'uno', 'digital', 'tconwesncgav', 'donde', 'la', 'cultura', 'del', 'rock', 'se', 'siente', 'tcoyjcrwlro']"
253,soda,@evthebeloved actually i hate soda,"['evthebeloved', 'actually', 'i', 'hate', 'soda']"
254,soda,"@NathanpmYoung i would just stick to soda, booze, &amp; chips","['nathanpmyoung', 'i', 'would', 'just', 'stick', 'to', 'soda', 'booze', 'amp', 'chips']"
259,soda,"@Tilberian **Smash cut to the SkyDome grounds crew, scrubbing second base with baking soda and vinegar, after the game**","['tilberian', 'smash', 'cut', 'to', 'the', 'skydome', 'grounds', 'crew', 'scrubbing', 'second', 'base', 'with', 'baking', 'soda', 'and', 'vinegar', 'after', 'the', 'game']"
260,soda,"@Vivirvivir4 Apa! Tuve que buscarlo 
Poco decorosa de risa fuerte 
Te gusta la soda y eructar pero no lo haces 
A veces te arrepentis de no tener un auto mas grande para cargar mas bolsas de súper","['vivirvivir', 'apa', 'tuve', 'que', 'buscarlo', 'poco', 'decorosa', 'de', 'risa', 'fuerte', 'te', 'gusta', 'la', 'soda', 'y', 'eructar', 'pero', 'no', 'lo', 'haces', 'a', 'veces', 'te', 'arrepentis', 'de', 'no', 'tener', 'un', 'auto', 'mas', 'grande', 'para', 'cargar', 'mas', 'bolsas', 'de', 'súper']"
265,soda,@li__soda Ai mdssss mto mto obrigada 😭💛💛💛💛💛💛😳,"['lisoda', 'ai', 'mdssss', 'mto', 'mto', 'obrigada', '']"
269,soda,"@SAWohlfeil Too funny. Were you guys at your table for hours, just drinking coffee or soda and ordering no food because you didn’t have enough money?","['sawohlfeil', 'too', 'funny', 'were', 'you', 'guys', 'at', 'your', 'table', 'for', 'hours', 'just', 'drinking', 'coffee', 'or', 'soda', 'and', 'ordering', 'no', 'food', 'because', 'you', 'didn', 't', 'have', 'enough', 'money']"
272,soda,"@CindyRi24097949 @CityCynthia @ChristyCeeCK Exactly! Even Kraft Dinner has gone up. Cripes, I remember when it was 5/$1 or 25¢ box. Even soda pop went up $1.27 case at Walmart in the past week! @fordnation wouldn't be able to handle it.","['cindyri', 'citycynthia', 'christyceeck', 'exactly', 'even', 'kraft', 'dinner', 'has', 'gone', 'up', 'cripes', 'i', 'remember', 'when', 'it', 'was', 'or', 'box', 'even', 'soda', 'pop', 'went', 'up', 'case', 'at', 'walmart', 'in', 'the', 'past', 'week', 'fordnation', 'wouldnt', 'be', 'able', 'to', 'handle', 'it']"
275,soda,"@SteveStuffie @ScrappyDaDog14 hiya Scrappy pal
can I get you a soda? something to drink to have with your pizza?
#FurryTails Pizza Club","['stevestuffie', 'scrappydadog', 'hiya', 'scrappy', 'pal', 'can', 'i', 'get', 'you', 'a', 'soda', 'something', 'to', 'drink', 'to', 'have', 'with', 'your', 'pizza', 'furrytails', 'pizza', 'club']"
278,soda,Ayran limon tuz soda nın bazen Dünya nın en iyi içeceği olduğunu düşünüyorum,"['ayran', 'limon', 'tuz', 'soda', 'nın', 'bazen', 'dünya', 'nın', 'en', 'iyi', 'içeceği', 'olduğunu', 'düşünüyorum']"
279,soda,"Pengen duren dan soda. Of course minumnya ga barengan 😂. 
Pasti dimarahin bebeb 🙅‍♂️","['pengen', 'duren', 'dan', 'soda', 'of', 'course', 'minumnya', 'ga', 'barengan', 'pasti', 'dimarahin', 'bebeb', '']"
